Identifiant station;Code postal;Adresse;Opérateurs;Motorisation;Etat fonctionnel;URL Opérateur;Complément adresse;Nombre de places réservées;geo_shape;geo_point_2d
U-024;75012;46 QUAI DE LA RAPEE;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;6;"{""coordinates"": [2.372710499998869, 48.842019000056546], ""type"": ""Point""}";48.842019000056546,2.372710499998869
U-037;75008;422 RUE SAINT HONORE;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;5;"{""coordinates"": [2.32368749967972, 48.868316999837944], ""type"": ""Point""}";48.868316999837944,2.32368749967972
15-T042;75011;125 BIS AVENUE PARMENTIER;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.3716889998570614, 48.86887499964572], ""type"": ""Point""}";48.86887499964572,2.3716889998570614
15-T059;75002;122 RUE REAUMUR;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.3445134996263812, 48.868073999618915], ""type"": ""Point""}";48.868073999618915,2.3445134996263812
15-T075;75015;19 RUE OLIER;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.2916250002714276, 48.83500800008544], ""type"": ""Point""}";48.83500800008544,2.2916250002714276
15-T090;75018;24 RUE CHAMPIONNET;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3505929996659045, 48.895433999795], ""type"": ""Point""}";48.895433999795,2.3505929996659045
15-T097;75020;15 RUE DES GATINES;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.398140000430204, 48.86570700023713], ""type"": ""Point""}";48.86570700023713,2.398140000430204
18-T042;75013;28 RUE CHARLES FOURNIER;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.3508900006681364, 48.82554900037445], ""type"": ""Point""}";48.82554900037445,2.3508900006681364
18-T061;75015;136 AVENUE FELIX FAURE;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.279933999409989, 48.83769000022074], ""type"": ""Point""}";48.83769000022074,2.279933999409989
18-T063;75015;90 AVENUE FELIX FAURE;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.2836600004351344, 48.83950799970491], ""type"": ""Point""}";48.83950799970491,2.2836600004351344
18-T097;75017;46 BOULEVARD PEREIRE;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3056425000584215, 48.88777499956913], ""type"": ""Point""}";48.88777499956913,2.3056425000584215
18-T118;75002;3 RUE DE LA PAIX;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3304509995673297, 48.868685999902205], ""type"": ""Point""}";48.868685999902205,2.3304509995673297
18-T107;75017;14 BOULEVARD PERSHING;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.2838176217317097, 48.88076915316162], ""type"": ""Point""}";48.88076915316162,2.2838176217317097
